year,language,num_projects,num_commits,num_users,num_pull_req,num_pending_issues
2007,tex,,6428,187,,
2009,groovy,265,3894,133,,6
2011,processing,94,985,173,4,7
2014,assembly,5262,94137,5590,995,1681
2014,c#,153194,2468157,107629,63508,104087
2011,haskell,3662,57419,1702,671,1095
2012,elixir,208,4027,120,312,145
2013,visual basic,4280,48140,3159,601,1330
2015,vim script,721,2975,316,3,15
2017,perl,25629,479538,17802,27184,34903
2019,typescript,247032,2467240,146640,144466,238604
2011,emacs lisp,4087,79749,3847,708,990
2015,makefile,35368,499252,23653,15525,18728
2019,elixir,10839,129742,6324,10771,15966
2011,objective-c,21706,142855,7428,2696,5105
2012,emacs lisp,8851,170167,7731,2957,3014
2013,processing,3864,29390,2763,341,624
2017,css,405876,5334757,281244,203072,246330
2013,php,350849,4377623,166525,156540,241915
2010,hcl,1,12,5,,
2014,vim script,489,2671,308,3,9
2016,batchfile,7314,67508,5288,2283,3224
2016,arduino,19511,131854,16295,2627,4266
2018,vue,128629,752372,47147,25641,32872
2008,makefile,8,35478,754,,
2014,elixir,3016,44994,1356,2465,3083
2016,coldfusion,20676,46253,636,2376,2662
2016,shell,257620,6073214,202927,136092,168691
2019,go,252088,1715506,81253,156202,247078
2009,tex,71,13311,506,,37
2011,assembly,456,11965,539,28,47
2013,c,218460,4158974,120736,54835,82316
2014,css,382454,5531343,281030,113326,159890
2015,batchfile,4480,64331,4590,1411,2007
2013,haskell,14012,257168,8484,5098,8815
2012,shell,45732,813122,38818,13084,14058
2011,erlang,3419,48446,1322,1386,1388
2007,batchfile,,251,13,,
2014,processing,6081,59393,5140,503,897
2013,matlab,8064,150407,7585,1258,2172
2012,coldfusion,1032,16191,518,600,882
2013,c#,108451,1286212,59028,32772,57410
2014,dart,4798,105881,2367,4757,8278
2016,matlab,28589,292112,20574,6082,8849
2008,coffeescript,2,36,6,,
2015,pascal,7240,122306,4400,1559,3013
2012,makefile,406,79639,2471,882,650
2014,cmake,498,22091,1148,1291,1542
2017,objective-c,185789,662196,53204,46822,70751
2017,hcl,7590,61360,3588,6522,7236
2019,html,906115,8737506,607277,282449,389298
2019,ruby,356426,5946756,101763,373249,431505
2019,shell,204930,2081824,142696,85619,134271
2015,r,152319,1074367,85416,17592,28266
2010,erlang,1881,25887,805,211,629
2013,lua,15553,235338,9295,6941,10950
2013,makefile,1028,128776,4129,1886,2251
2015,puppet,10718,160095,8033,8812,10535
2010,coffeescript,258,3043,189,66,1253
2011,arduino,161,1194,145,11,9
2011,coffeescript,3572,40636,1858,865,1532
2016,python,850195,11134489,428138,612039,807729
2009,scala,705,12499,362,,356
2018,css,532450,6480202,341832,240544,290825
2008,vim script,3,308,29,,
2010,matlab,88,11632,351,1,7
2014,makefile,6153,237173,8847,4992,6116
2015,swift,107676,932417,55088,28963,40846
2017,dart,3281,68049,1353,9122,12193
2017,erlang,9650,138062,3599,9936,11656
2007,matlab,,4319,84,,
2013,elixir,1649,21094,690,1128,1499
2013,julia,2046,32619,572,2484,3486
2016,assembly,11270,98851,6896,2552,3364
2011,dockerfile,1,,,,
2011,ruby,106721,868047,31395,28038,35039
2013,c++,179110,3962671,121163,85256,126238
2013,go,35954,382134,12162,12977,18898
2017,typescript,176158,1565160,77410,113883,153295
2018,viml,,353940,25392,6725,10036
2012,swift,38,38176,99,20,63
2014,visual basic,6147,76825,5094,1087,1966
2017,vim script,33110,139028,14385,1549,2132
2018,visual basic,11585,85173,6872,3529,4837
2009,elixir,5,5,3,,
2009,swift,4,2113,6,,
2014,coldfusion,1218,29124,796,1623,1982
2016,dart,3301,62247,1298,5540,8298
2014,groovy,12150,219990,10975,6628,10533
2009,ruby,35364,260805,8818,,5151
2011,coldfusion,609,8874,280,201,371
2009,javascript,12937,184529,5967,,1095
2008,shell,363,127939,2326,,1
2016,typescript,74198,731212,34988,51904,70572
2019,makefile,42341,326157,20621,29954,36284
2014,jupyter notebook,1107,68290,2201,2101,2942
2008,tex,16,9772,314,,
2010,kotlin,2,12,4,4,4
2013,assembly,3724,60556,3262,679,1074
2014,dockerfile,20,221,31,,17
2015,javascript,1646191,21515369,720692,973181,1348749
2018,c++,768299,7052312,296312,396782,526644
2010,groovy,942,9754,386,22,120
2011,tex,641,26179,1482,125,245
2007,pascal,,24892,203,,
2009,r,84,17839,1208,,87
2011,vue,1,,,,
2016,ruby,505265,6050132,189899,562029,634377
2019,puppet,1143,27170,1729,2697,3174
2009,go,121,16481,171,,32
2018,swift,211969,1140151,78141,60798,78456
2011,perl,11477,221470,7765,2577,4449
2014,coffeescript,42703,609257,25778,27343,42032
2014,emacs lisp,12912,370034,15504,7892,10661
2015,html,742625,11109814,550804,305767,390524
2015,shell,269755,4319207,174319,93712,126297
2017,php,505631,5928230,230800,375625,468237
2009,dart,1,2,1,,
2012,visual basic,1357,13940,1265,165,336
2013,clojure,16656,188767,6273,6879,9670
2007,clojure,,321,7,,
2008,python,1798,299793,6861,,228
2010,c#,5960,149181,4247,454,1656
2014,c++,224913,5952269,183163,161232,234454
2015,processing,10595,85311,7133,1807,2651
2018,julia,16174,228082,3928,27583,34803
2012,c#,43679,572057,27156,14939,22180
2014,php,370147,6742015,242799,244064,346832
2007,php,,193667,2516,,3
2012,jupyter notebook,128,5933,298,120,463
2011,rust,177,8223,135,276,1013
2009,assembly,30,5078,216,,
2011,kotlin,4,30,11,9,9
2012,haskell,7675,139182,4608,3103,5206
